DESCRIPCION,UNIDAD,PRECIO UNITARIO,CPC ELEMENTO,NP/ND/EP,VAE (%),RECURSO
Cinta cambridge,,0.0,,,0.0,MATERIAL
Cinta de papel para juntas 50mm,,0.0,,,0.0,MATERIAL
Cinta de plástico vinilo aislante eléctrica de alta tensión,,0.0,,,0.0,MATERIAL
"Clavos de 2 a 8""",,0.0,,,0.0,MATERIAL
Clavos de acero,,0.0,,,0.0,MATERIAL
"Codo PVC/PP 1/2""",,0.0,,,0.0,MATERIAL
"Codos, teflón ; accesorios",,0.0,,,0.0,MATERIAL
Columna de calibración,,0.0,,,0.0,MATERIAL
Compresor,,0.0,,,0.0,EQUIPO
"Compuerta deslizante de acero inoxidable AISI 304 (Incluye mecanismo de elevación, pedestal, volante, pernos, accesorios)",,0.0,,,0.0,MATERIAL
Computadora portátil,,0.0,,,0.0,EQUIPO
Concretará 1 saco,,0.0,,,0.0,EQUIPO
Concretera,,0.0,,,0.0,EQUIPO
Conductor Tw Solido #10 AWG,,0.0,,,0.0,MATERIAL
"Conductor aislado par 2000 v, tipo TTU no. 2/0 AWG",,0.0,,,0.0,MATERIAL
"Conductor aislado par 2000 v, tipo TTU no. 500 MCM 37 hilos AWG",,0.0,,,0.0,MATERIAL
"Conduleta ll 1"" inc. cubierta y empaque para exteriores",,0.0,,,0.0,MATERIAL
"Conduleta ll galvanizada 3/4"" inc. cubierta y empaque",,0.0,,,0.0,MATERIAL
"Conduleta t 1"" inc. cubierta y empaque para exteriores",,0.0,,,0.0,MATERIAL
"Conduleta t galvanizada 3/4"" inc. cubierta y empaque",,0.0,,,0.0,MATERIAL
"Conector EMT 1/2""",,0.0,,,0.0,MATERIAL
Conector EMT De 3/4” De Diámetro,,0.0,,,0.0,MATERIAL
Conector EMT ½”,,0.0,,,0.0,MATERIAL
"Conector de puesta a tierra servit post, para cable 2 - 2/0 AWG, 1/2""x 17/32"", para dos cables",,0.0,,,0.0,MATERIAL
